,NM_UE,NM_PARTIDO,DS_CARGO,DS_NACIONALIDADE,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,ST_REELEICAO
16,JUNDIAÍ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,2861007,N
103,MOCOCA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,ODONTÓLOGO,123077,N
156,MONTE CASTELO,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
163,SÃO SIMÃO,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO,123077,N
174,PIEDADE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,123077,N
203,MOGI DAS CRUZES,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,1736081,N
213,ESPÍRITO SANTO DO PINHAL,PODEMOS,PREFEITO,BRASILEIRA NATA,68,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,189527,N
252,MIRASSOL,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,123077,N
257,NOVAIS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",123077,N
300,BIRITIBA MIRIM,PARTIDO SOCIAL CRISTÃO,PREFEITO,BRASILEIRA NATA,39,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,OUTROS,123077,N
319,JARDINÓPOLIS,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,33,MASCULINO,SUPERIOR COMPLETO,PARDA,ADMINISTRADOR,152986,N
406,SALESÓPOLIS,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
433,PAULICÉIA,CIDADANIA,PREFEITO,BRASILEIRA NATA,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,178477,S
441,TATUÍ,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,461725,N
488,CABRÁLIA PAULISTA,CIDADANIA,PREFEITO,BRASILEIRA NATA,58,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,CONTADOR,123077,N
525,AMÉRICO BRASILIENSE,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,S
551,CAJAMAR,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,58,FEMININO,SUPERIOR INCOMPLETO,BRANCA,"TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS",613920,N
614,CAIABU,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,51,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,123077,N
652,CORDEIRÓPOLIS,CIDADANIA,PREFEITO,BRASILEIRA NATA,73,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
665,GUARATINGUETÁ,PARTIDO SOCIAL CRISTÃO,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,537529,N
722,INDIAPORÃ,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,53,FEMININO,SUPERIOR COMPLETO,BRANCA,PSICÓLOGO,123077,N
754,BANANAL,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,31,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
764,AREIAS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR INCOMPLETO,PARDA,OPERADOR DE APARELHOS DE PRODUÇÃO INDUSTRIAL,123077,N
776,TAQUARITINGA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,123077,N
786,PEDRO DE TOLEDO,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
861,SANTO ANTÔNIO DA ALEGRIA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,57,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
888,SUD MENNUCCI,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,31,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,171162,N
889,PRADÓPOLIS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,123077,S
895,RIBEIRÃO DO SUL,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,50,FEMININO,SUPERIOR COMPLETO,BRANCA,REPRESENTANTE COMERCIAL,123077,N
903,TUPÃ,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,67,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,728209,S
956,SANTA BÁRBARA D'OESTE,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,428025,N
958,MINEIROS DO TIETÊ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
962,NOVA CASTILHO,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
1107,ARUJÁ,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,715162,N
1108,CAMPOS DO JORDÃO,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR INCOMPLETO,PRETA,ARTISTA PLÁSTICO E ASSEMELHADOS,228636,N
1119,MOGI MIRIM,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,PSICÓLOGO,346709,N
1143,JAMBEIRO,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,123077,S
1297,NARANDIBA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,55,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,S
1390,BRAGANÇA PAULISTA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,82,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,812871,S
1484,ANALÂNDIA,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO",123077,N
1550,BARRA DO TURVO,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,53,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,210457,N
1560,ARANDU,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,FARMACÊUTICO,123077,N
1604,ITATINGA,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,40,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,CABELEIREIRO E BARBEIRO,123077,N
1661,UBATUBA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,43,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,552914,N
1664,ITAQUAQUECETUBA,PATRIOTA,PREFEITO,BRASILEIRA NATA,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,JORNALISTA E REDATOR,1584939,N
1725,NANTES,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,49,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,123077,N
1778,DOIS CÓRREGOS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
1870,ITAPEVA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,54,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,626455,N
1871,SERRANA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,71,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,PREFEITO,226686,S
1957,BURITIZAL,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
2073,LAVÍNIA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,MILITAR REFORMADO,123077,N
2117,EMBU DAS ARTES,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,36,FEMININO,SUPERIOR COMPLETO,PARDA,VEREADOR,1559834,N
2223,CUNHA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,123077,N
2230,CONCHAS,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
2297,BOM JESUS DOS PERDÕES,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,217647,S
2303,PIRAPORA DO BOM JESUS,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,34,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
2314,ITUPEVA,CIDADANIA,PREFEITO,BRASILEIRA NATA,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",551834,N
2345,ITAPEVA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,45,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR,626455,N
2369,EMBU DAS ARTES,PARTIDO DA CAUSA OPERÁRIA,PREFEITO,BRASILEIRA NATA,52,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,RECEPCIONISTA,1559834,N
2482,MARÍLIA,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,40,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,2557227,N
2486,ANHUMAS,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
2496,CACONDE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,159024,N
2502,PIRAJUÍ,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,43,MASCULINO,LÊ E ESCREVE,PARDA,VEREADOR,123077,N
2555,VALENTIM GENTIL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,49,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
2611,VALINHOS,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,ARQUITETO,553027,N
2616,BAURU,PATRIOTA,PREFEITO,BRASILEIRA NATA,32,FEMININO,SUPERIOR COMPLETO,PRETA,OUTROS,607353,N
2636,IPERÓ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,155892,N
2637,SÃO CARLOS,SOLIDARIEDADE,PREFEITO,BRASILEIRA NATA,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,1444432,N
2644,MAIRIPORÃ,PATRIOTA,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR,310381,N
2656,DOIS CÓRREGOS,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL MILITAR,123077,N
2664,SERRA NEGRA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ESTATÍSTICO,123077,N
2693,ALTINÓPOLIS,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,75,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO,193247,N
2783,VALENTIM GENTIL,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,S
2809,ITIRAPINA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
2812,GUARÁ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,67,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
2835,TAQUARAL,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,51,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
2892,DUARTINA,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO,123077,N
2945,ALTAIR,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,57,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,155743,N
2983,ITANHAÉM,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE,275452,N
3078,POÁ,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,59,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,VEREADOR,123077,N
3090,ROSEIRA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,49,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
3110,SANTA RITA DO PASSA QUATRO,PATRIOTA,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO,123077,N
3173,LUPÉRCIO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
3205,PALMARES PAULISTA,PODEMOS,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
3285,ITAPURA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,62,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,"TÉCNICO DE ELETRICIDADE, ELETRÔNICA E TELECOMUNICAÇÕES",123077,N
3332,JOSÉ BONIFÁCIO,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,61,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO,223043,N
3396,MOCOCA,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
3409,CRAVINHOS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,OUTROS,173639,N
3428,SERRA AZUL,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,32,FEMININO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO,123077,N
3453,GLICÉRIO,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,48,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,123077,N
3461,VALINHOS,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,57,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR,553027,N
3550,ANGATUBA,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,28,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR,177679,N
3610,VARGEM GRANDE PAULISTA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,256015,S
3613,DIADEMA,PARTIDO SOCIAL CRISTÃO,PREFEITO,BRASILEIRA NATA,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ARQUITETO,2314690,N
3633,IBIÚNA,PARTIDO DA MULHER BRASILEIRA,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE,123077,N
3650,SALTO DE PIRAPORA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
3664,SÃO VICENTE,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,1619685,S
3687,SANTOS,PARTIDO SOCIALISMO E LIBERDADE,PREFEITO,BRASILEIRA NATA,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS,1973923,N
3752,ELDORADO,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,CONTADOR,169055,N
3807,IRAPURU,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
3823,OSASCO,DEMOCRACIA CRISTÃ,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,2982658,N
3829,RIOLÂNDIA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,43,FEMININO,SUPERIOR COMPLETO,BRANCA,ODONTÓLOGO,123077,N
3873,SALTO,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,43,FEMININO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE,552539,N
3874,BEBEDOURO,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,BANCÁRIO E ECONOMIÁRIO,299827,N
3881,BRODOWSKI,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,253109,N
3904,ITAPEVA,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,626455,N
3920,PALMEIRA D'OESTE,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
3949,CAPIVARI,PODEMOS,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,416136,N
4048,BARRA BONITA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,53,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
4053,BARUERI,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,3954041,N
4067,SÃO LOURENÇO DA SERRA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",123077,N
4069,SANTO ANTÔNIO DO JARDIM,PODEMOS,PREFEITO,BRASILEIRA NATA,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
4175,IPEÚNA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
4291,TACIBA,PROGRESSISTAS,PREFEITO,BRASILEIRA NATA,35,MASCULINO,SUPERIOR COMPLETO,PARDA,ENGENHEIRO,123077,N
4319,TAPIRAÍ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,78,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PREFEITO,123077,N
4321,BOFETE,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
4351,JÚLIO MESQUITA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
4361,ÓLEO,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,79,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,S
4365,SALTO,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,552539,N
4395,BANANAL,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,35,MASCULINO,SUPERIOR COMPLETO,PARDA,ADMINISTRADOR,123077,N
4423,CESÁRIO LANGE,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,50,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,123077,N
4427,RIBEIRÃO PIRES,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,72,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO,1019523,N
4508,NHANDEARA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
4533,CAIABU,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,30,FEMININO,SUPERIOR COMPLETO,BRANCA,OUTROS,123077,N
4566,PRATÂNIA,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,33,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,PREFEITO,123077,S
4609,BIRIGUI,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,56,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,EMPRESÁRIO,809749,N
4620,CANITAR,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,49,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,OUTROS,123077,N
4628,SÃO SIMÃO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,26,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,ADMINISTRADOR,123077,N
4635,SÃO MIGUEL ARCANJO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,69,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,AGRICULTOR,123077,N
4636,ILHABELA,PARTIDO LIBERAL,PREFEITO,BRASILEIRA NATA,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,MILITAR REFORMADO,310914,N
4646,SALTO GRANDE,PODEMOS,PREFEITO,BRASILEIRA NATA,67,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),123077,N
4656,IBIRÁ,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,123077,N
4658,ITIRAPUÃ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
4666,RINÓPOLIS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,FARMACÊUTICO,123077,N
4709,TAQUARITUBA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,S
4726,TAPIRATIBA,CIDADANIA,PREFEITO,BRASILEIRA NATA,46,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL,123077,N
