,NM_UE,NM_PARTIDO,DS_CARGO,DS_NACIONALIDADE,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO,VR_DESPESA_MAX_CAMPANHA,ST_REELEICAO
23934,TREMEMBÉ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,53,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,230853,N
23998,ARUJÁ,PARTIDO SOCIALISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,715162,N
24117,TABOÃO DA SERRA,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,47,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,1451252,N
24230,ORLÂNDIA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,55,MASCULINO,SUPERIOR COMPLETO,PRETA,PROFESSOR DE ENSINO MÉDIO,199292,N
24234,CONCHAS,MOVIMENTO DEMOCRÁTICO BRASILEIRO,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,123077,N
24260,CARAPICUÍBA,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DIRETOR DE EMPRESAS,1419315,N
24261,MOTUCA,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
24291,AREIAS,AVANTE,PREFEITO,BRASILEIRA NATA,60,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO",123077,N
24410,CHARQUEADA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,32,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO,123077,N
24423,ILHA COMPRIDA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,409373,N
24535,IRAPUÃ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,N
24540,CAJOBI,PODEMOS,PREFEITO,BRASILEIRA NATA,44,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,EMPRESÁRIO,123077,N
24622,MONTE ALEGRE DO SUL,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,123077,S
24672,VOTORANTIM,PARTIDO TRABALHISTA BRASILEIRO,PREFEITO,BRASILEIRA NATA,64,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,308209,N
24716,PONTALINDA,PARTIDO DOS TRABALHADORES,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
24748,AGUDOS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,ARQUITETO,123077,N
24789,CONCHAS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,21,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO,123077,N
24800,OURO VERDE,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,63,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,123077,N
24830,GUARUJÁ,PODEMOS,PREFEITO,BRASILEIRA NATA,57,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS,1482035,N
24850,GUARULHOS,PARTIDO DEMOCRÁTICO TRABALHISTA,PREFEITO,BRASILEIRA NATA,60,FEMININO,SUPERIOR COMPLETO,PRETA,OUTROS,5275630,N
24892,PAULO DE FARIA,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,60,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
25002,APARECIDA D'OESTE,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,57,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,PREFEITO,123077,N
25046,SÃO SEBASTIÃO,DEMOCRACIA CRISTÃ,PREFEITO,BRASILEIRA NATA,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO,1332893,N
25072,COROADOS,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,67,FEMININO,SUPERIOR COMPLETO,BRANCA,DIRETOR DE ESTABELECIMENTO DE ENSINO,123077,S
25127,HOLAMBRA,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,75,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),281617,N
25233,MAUÁ,PARTIDO DA CAUSA OPERÁRIA,PREFEITO,BRASILEIRA NATA,31,MASCULINO,SUPERIOR COMPLETO,PRETA,OUTROS,1838557,N
25235,SÃO MANUEL,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,PREFEITO,208937,S
25239,JUQUIÁ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR,123077,N
25333,LORENA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,70,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL,460975,N
25342,JOSÉ BONIFÁCIO,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,43,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO,223043,N
25363,QUELUZ,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,66,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
25444,NOVO HORIZONTE,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,COMERCIANTE,166601,N
25488,PONTAL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR,123077,N
25528,SANTA BÁRBARA D'OESTE,PODEMOS,PREFEITO,BRASILEIRA NATA,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO,428025,N
25533,IBIÚNA,DEMOCRATAS,PREFEITO,BRASILEIRA NATA,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
25540,ROSEIRA,REPUBLICANOS,PREFEITO,BRASILEIRA NATA,54,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,COMERCIANTE,123077,N
25619,VALPARAÍSO,PATRIOTA,PREFEITO,BRASILEIRA NATA,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENFERMEIRO,123077,N
25631,SANTOS,PARTIDO SOCIAL DEMOCRÁTICO,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,1973923,N
25658,TAQUARAL,PARTIDO SOCIAL LIBERAL,PREFEITO,BRASILEIRA NATA,43,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,AGRICULTOR,123077,N
25693,BURITIZAL,PARTIDO VERDE,PREFEITO,BRASILEIRA NATA,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRÔNOMO,123077,N
25733,MAUÁ,UNIDADE POPULAR,PREFEITO,BRASILEIRA NATA,24,FEMININO,SUPERIOR COMPLETO,BRANCA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",1838557,N
25755,BOITUVA,CIDADANIA,PREFEITO,BRASILEIRA NATA,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO,123077,N
25811,GETULINA,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,54,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PREFEITO,123077,N
25812,MIGUELÓPOLIS,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PREFEITO,BRASILEIRA NATA,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO,162153,N
