Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3513207;Interior;Cristais Paulista;77;1;;
3513306;Interior;Cruzália;23;0;;
3513405;Interior;Cruzeiro;849;34;;
3513504;Interior;Cubatão;6709;190;;
3513603;Interior;Cunha;166;2;;
3513702;Interior;Descalvado;595;7;;
3513801;RMSP (exceto capital);Diadema;9200;391;;
3513850;Interior;Dirce Reis;19;0;;
3513900;Interior;Divinolândia;142;6;;
3514007;Interior;Dobrada;148;2;;
3514106;Interior;Dois Córregos;309;4;;
3514205;Interior;Dolcinópolis;77;5;;
3514304;Interior;Dourado;145;1;;
3514403;Interior;Dracena;1041;30;;
3514502;Interior;Duartina;275;5;;
3514601;Interior;Dumont;460;5;;
3514700;Interior;Echaporã;33;1;;
3514809;Interior;Eldorado;362;7;;
3514908;Interior;Elias Fausto;632;18;;
3514924;Interior;Elisiário;145;4;;
3514957;Interior;Embaúba;53;1;;
3515004;RMSP (exceto capital);Embu das Artes;3805;186;;
3515103;RMSP (exceto capital);Embu-Guaçu;1302;46;;
3515129;Interior;Emilianópolis;61;2;;
3515152;Interior;Engenheiro Coelho;890;21;;
3515186;Interior;Espírito Santo do Pinhal;995;24;;
3515194;Interior;Espírito Santo do Turvo;55;0;;
3515202;Interior;Estrela d'Oeste;533;13;;
3515301;Interior;Estrela do Norte;60;2;;
3515350;Interior;Euclides da Cunha Paulista;47;3;;
3515400;Interior;Fartura;137;1;;
3515509;Interior;Fernandópolis;2836;60;;
3515608;Interior;Fernando Prestes;146;3;;
3515657;Interior;Fernão;13;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;4626;134;;
3515806;Interior;Flora Rica;19;1;;
3515905;Interior;Floreal;49;1;;
3516002;Interior;Flórida Paulista;61;1;;
3516101;Interior;Florínea;28;1;;
3516200;Interior;Franca;6396;193;;
3516309;RMSP (exceto capital);Francisco Morato;3002;135;;
3516408;RMSP (exceto capital);Franco da Rocha;2834;128;;
3516507;Interior;Gabriel Monteiro;35;4;;
3516606;Interior;Gália;65;4;;
3516705;Interior;Garça;726;20;;
3516804;Interior;Gastão Vidigal;79;12;;
3516853;Interior;Gavião Peixoto;232;1;;
3516903;Interior;General Salgado;227;2;;
3517000;Interior;Getulina;252;2;;
3517109;Interior;Glicério;54;2;;
3517208;Interior;Guaiçara;549;5;;
3517307;Interior;Guaimbê;63;3;;
3517406;Interior;Guaíra;1541;44;;
3517505;Interior;Guapiaçu;985;30;;
3517604;Interior;Guapiara;133;10;;
3517703;Interior;Guará;546;21;;
3517802;Interior;Guaraçaí;81;1;;
3517901;Interior;Guaraci;261;5;;
3518008;Interior;Guarani d'Oeste;51;0;;
3518107;Interior;Guarantã;144;2;;
3518206;Interior;Guararapes;583;7;;
3518305;RMSP (exceto capital);Guararema;522;30;;
3518404;Interior;Guaratinguetá;1706;53;;
3518503;Interior;Guareí;1989;6;;
3518602;Interior;Guariba;1197;33;;
3518701;Interior;Guarujá;9580;381;;
3518800;RMSP (exceto capital);Guarulhos;22848;1546;;
3518859;Interior;Guatapará;130;3;;
3518909;Interior;Guzolândia;71;3;;
3519006;Interior;Herculândia;76;4;;
3519055;Interior;Holambra;412;3;;
3519071;Interior;Hortolândia;6757;152;;
3519105;Interior;Iacanga;293;5;;
3519204;Interior;Iacri;40;0;;
3519253;Interior;Iaras;73;3;;
3519303;Interior;Ibaté;395;5;;
3519402;Interior;Ibirá;403;10;;
3519501;Interior;Ibirarema;142;5;;
3519600;Interior;Ibitinga;1618;45;;
3519709;Interior;Ibiúna;452;27;;
3519808;Interior;Icém;167;3;;
3519907;Interior;Iepê;111;3;;
3520004;Interior;Igaraçu do Tietê;430;14;;
3520103;Interior;Igarapava;674;18;;
3520202;Interior;Igaratá;907;8;;
3520301;Interior;Iguape;605;14;;
3520400;Interior;Ilhabela;1681;13;;
3520426;Interior;Ilha Comprida;156;5;;
3520442;Interior;Ilha Solteira;434;17;;
3520509;Interior;Indaiatuba;4777;228;;
3520608;Interior;Indiana;143;3;;
3520707;Interior;Indiaporã;36;0;;
3520806;Interior;Inúbia Paulista;28;1;;
3520905;Interior;Ipaussu;306;4;;
3521002;Interior;Iperó;272;4;;
3521101;Interior;Ipeúna;143;1;;
3521150;Interior;Ipiguá;243;8;;
3521200;Interior;Iporanga;77;1;;
3521309;Interior;Ipuã;589;21;;
3521408;Interior;Iracemápolis;1209;15;;
3521507;Interior;Irapuã;161;2;;
3521606;Interior;Irapuru;60;2;;
3521705;Interior;Itaberá;199;3;;
3521804;Interior;Itaí;147;1;;
3521903;Interior;Itajobi;484;11;;
3522000;Interior;Itaju;180;1;;
3522109;Interior;Itanhaém;1406;77;;
3522158;Interior;Itaoca;37;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;2679;163;;
3522307;Interior;Itapetininga;2130;59;;
3522406;Interior;Itapeva;876;13;;
3522505;RMSP (exceto capital);Itapevi;3454;236;;
3522604;Interior;Itapira;1880;46;;
3522653;Interior;Itapirapuã Paulista;68;1;;
3522703;Interior;Itápolis;539;12;;
3522802;Interior;Itaporanga;250;7;;
3522901;Interior;Itapuí;372;5;;
3523008;Interior;Itapura;77;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;4532;301;;
3523206;Interior;Itararé;634;21;;
3523305;Interior;Itariri;359;7;;
3523404;Interior;Itatiba;1832;32;;
3523503;Interior;Itatinga;323;7;;
3523602;Interior;Itirapina;345;6;;
3523701;Interior;Itirapuã;41;1;;
3523800;Interior;Itobi;436;5;;
3523909;Interior;Itu;3343;106;;
3524006;Interior;Itupeva;1813;34;;
3524105;Interior;Ituverava;555;26;;
3524204;Interior;Jaborandi;147;3;;
3524303;Interior;Jaboticabal;809;50;;
3524402;Interior;Jacareí;3821;150;;
3524501;Interior;Jaci;356;6;;
3524600;Interior;Jacupiranga;488;17;;
3524709;Interior;Jaguariúna;1170;29;;
3524808;Interior;Jales;2007;61;;
3524907;Interior;Jambeiro;89;5;;
3525003;RMSP (exceto capital);Jandira;1794;101;;
3525102;Interior;Jardinópolis;882;52;;
3525201;Interior;Jarinu;447;24;;
3525300;Interior;Jaú;3108;70;;
3525409;Interior;Jeriquara;64;0;;
3525508;Interior;Joanópolis;130;3;;
3525607;Interior;João Ramalho;82;3;;
3525706;Interior;José Bonifácio;1290;21;;
3525805;Interior;Júlio Mesquita;34;2;;
3525854;Interior;Jumirim;86;1;;
3525904;Interior;Jundiaí;13448;419;;
3526001;Interior;Junqueirópolis;202;5;;
3526100;Interior;Juquiá;427;12;;
3526209;RMSP (exceto capital);Juquitiba;1000;16;;
3526308;Interior;Lagoinha;70;0;;
3526407;Interior;Laranjal Paulista;913;6;;
3526506;Interior;Lavínia;378;1;;
3526605;Interior;Lavrinhas;63;1;;
3526704;Interior;Leme;2905;77;;
3526803;Interior;Lençóis Paulista;2924;50;;
3526902;Interior;Limeira;9508;275;;
3527009;Interior;Lindóia;101;3;;
3527108;Interior;Lins;2825;44;;
3527207;Interior;Lorena;1193;33;;
3527256;Interior;Lourdes;62;1;;
3527306;Interior;Louveira;945;25;;
3527405;Interior;Lucélia;107;7;;
3527504;Interior;Lucianópolis;15;0;;
3527603;Interior;Luís Antônio;316;10;;
3527702;Interior;Luiziânia;89;2;;
3527801;Interior;Lupércio;35;0;;
3527900;Interior;Lutécia;7;0;;
3528007;Interior;Macatuba;815;10;;
3528106;Interior;Macaubal;100;4;;
3528205;Interior;Macedônia;97;4;;
3528304;Interior;Magda;45;2;;
3528403;Interior;Mairinque;544;20;;
3528502;RMSP (exceto capital);Mairiporã;1700;63;;
3528601;Interior;Manduri;116;0;;
3528700;Interior;Marabá Paulista;50;1;;
3528809;Interior;Maracaí;185;1;;
3528858;Interior;Marapoama;80;3;;
3528908;Interior;Mariápolis;27;0;;
3529005;Interior;Marília;4141;72;;
3529104;Interior;Marinópolis;54;1;;
3529203;Interior;Martinópolis;307;14;;
3529302;Interior;Matão;916;26;;
3529401;RMSP (exceto capital);Mauá;8127;384;;
3529500;Interior;Mendonça;179;10;;
3529609;Interior;Meridiano;131;5;;
3529658;Interior;Mesópolis;34;1;;
3529708;Interior;Miguelópolis;548;15;;
3529807;Interior;Mineiros do Tietê;297;7;;
3529906;Interior;Miracatu;334;17;;
3530003;Interior;Mira Estrela;56;1;;
3530102;Interior;Mirandópolis;411;11;;
3530201;Interior;Mirante do Paranapanema;136;5;;
3530300;Interior;Mirassol;2251;56;;
3530409;Interior;Mirassolândia;181;2;;
3530508;Interior;Mococa;1446;33;;
3530607;RMSP (exceto capital);Mogi das Cruzes;8909;432;;
3530706;Interior;Mogi Guaçu;3108;80;;
3530805;Interior;Mogi Mirim;2077;58;;
3530904;Interior;Mombuca;52;1;;
3531001;Interior;Monções;77;3;;
3531100;Interior;Mongaguá;678;20;;
3531209;Interior;Monte Alegre do Sul;70;1;;
3531308;Interior;Monte Alto;1118;38;;
3531407;Interior;Monte Aprazível;730;18;;
3531506;Interior;Monte Azul Paulista;229;2;;
3531605;Interior;Monte Castelo;111;4;;
3531704;Interior;Monteiro Lobato;75;1;;
3531803;Interior;Monte Mor;1573;32;;
3531902;Interior;Morro Agudo;1198;25;;
3532009;Interior;Morungaba;132;3;;
3532058;Interior;Motuca;63;3;;
3532108;Interior;Murutinga do Sul;59;2;;
3532157;Interior;Nantes;47;0;;
3532207;Interior;Narandiba;114;3;;
3532306;Interior;Natividade da Serra;34;1;;
3532405;Interior;Nazaré Paulista;285;5;;
3532504;Interior;Neves Paulista;265;7;;
3532603;Interior;Nhandeara;225;6;;
3532702;Interior;Nipoã;116;2;;
3532801;Interior;Nova Aliança;249;4;;
3532827;Interior;Nova Campina;74;4;;
3532843;Interior;Nova Canaã Paulista;72;2;;
3532868;Interior;Nova Castilho;21;2;;
3532900;Interior;Nova Europa;268;2;;
3533007;Interior;Nova Granada;909;18;;
3533106;Interior;Nova Guataporanga;32;0;;
3533205;Interior;Nova Independência;95;1;;
3533254;Interior;Novais;190;8;;
3533304;Interior;Nova Luzitânia;91;2;;
3533403;Interior;Nova Odessa;1276;54;;
3533502;Interior;Novo Horizonte;1187;24;;
3533601;Interior;Nuporanga;119;1;;
3533700;Interior;Ocauçu;38;1;;
3533809;Interior;Óleo;6;0;;
3533908;Interior;Olímpia;2657;67;;
3534005;Interior;Onda Verde;217;4;;
3534104;Interior;Oriente;89;4;;
3534203;Interior;Orindiúva;306;5;;
3534302;Interior;Orlândia;1082;38;;
3534401;RMSP (exceto capital);Osasco;14567;840;;
3534500;Interior;Oscar Bressane;24;0;;
3534609;Interior;Osvaldo Cruz;309;10;;
3534708;Interior;Ourinhos;2115;37;;
3534757;Interior;Ouroeste;338;6;;
3534807;Interior;Ouro Verde;62;0;;
3534906;Interior;Pacaembu;342;9;;
3535002;Interior;Palestina;147;5;;
3535101;Interior;Palmares Paulista;393;14;;
3535200;Interior;Palmeira d'Oeste;230;6;;
3535309;Interior;Palmital;482;6;;
3535408;Interior;Panorama;113;6;;
3535507;Interior;Paraguaçu Paulista;608;15;;
3535606;Interior;Paraibuna;194;10;;
3535705;Interior;Paraíso;165;4;;
3535804;Interior;Paranapanema;185;3;;
3535903;Interior;Paranapuã;100;5;;
3536000;Interior;Parapuã;89;4;;
3536109;Interior;Pardinho;173;1;;
3536208;Interior;Pariquera-Açu;750;14;;
3536257;Interior;Parisi;109;5;;
3536307;Interior;Patrocínio Paulista;190;8;;
3536406;Interior;Paulicéia;53;2;;
3536505;Interior;Paulínia;5470;81;;
3536570;Interior;Paulistânia;9;0;;
3536604;Interior;Paulo de Faria;197;3;;
3536703;Interior;Pederneiras;778;17;;
3536802;Interior;Pedra Bela;100;1;;
3536901;Interior;Pedranópolis;46;2;;
3537008;Interior;Pedregulho;96;2;;
3537107;Interior;Pedreira;575;9;;
3537156;Interior;Pedrinhas Paulista;28;1;;
3537206;Interior;Pedro de Toledo;78;6;;
3537305;Interior;Penápolis;1282;31;;
3537404;Interior;Pereira Barreto;366;9;;
3537503;Interior;Pereiras;227;1;;
3537602;Interior;Peruíbe;1164;42;;
3537701;Interior;Piacatu;83;0;;
3537800;Interior;Piedade;847;33;;
3537909;Interior;Pilar do Sul;284;5;;
3538006;Interior;Pindamonhangaba;2500;51;;
3538105;Interior;Pindorama;555;15;;
3538204;Interior;Pinhalzinho;150;2;;
3538303;Interior;Piquerobi;42;0;;
3538501;Interior;Piquete;165;3;;
3538600;Interior;Piracaia;468;6;;
3538709;Interior;Piracicaba;14868;368;;
3538808;Interior;Piraju;256;8;;
3538907;Interior;Pirajuí;472;9;;
3539004;Interior;Pirangi;394;16;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;626;7;;
3539202;Interior;Pirapozinho;922;23;;
3539301;Interior;Pirassununga;1785;35;;
3539400;Interior;Piratininga;327;10;;
3539509;Interior;Pitangueiras;1272;28;;
3539608;Interior;Planalto;204;3;;
3539707;Interior;Platina;60;0;;
3539806;RMSP (exceto capital);Poá;2083;114;;
3539905;Interior;Poloni;92;3;;
3540002;Interior;Pompéia;176;4;;
3540101;Interior;Pongaí;123;6;;
3540200;Interior;Pontal;1575;53;;
3540259;Interior;Pontalinda;76;5;;
3540309;Interior;Pontes Gestal;141;3;;
3540408;Interior;Populina;65;3;;
3540507;Interior;Porangaba;34;0;;
3540606;Interior;Porto Feliz;1294;15;;
3540705;Interior;Porto Ferreira;1373;35;;
3540754;Interior;Potim;305;4;;
3540804;Interior;Potirendaba;638;12;;
3540853;Interior;Pracinha;6;0;;
3540903;Interior;Pradópolis;781;22;;
3541000;Interior;Praia Grande;8211;271;;
3541059;Interior;Pratânia;62;2;;
3541109;Interior;Presidente Alves;80;2;;
3541208;Interior;Presidente Bernardes;395;11;;
3541307;Interior;Presidente Epitácio;612;20;;
3541406;Interior;Presidente Prudente;5701;156;;
3541505;Interior;Presidente Venceslau;510;22;;
3541604;Interior;Promissão;1775;10;;
3541653;Interior;Quadra;18;1;;
3541703;Interior;Quatá;196;4;;
3541802;Interior;Queiroz;26;2;;
3541901;Interior;Queluz;319;3;;
3542008;Interior;Quintana;65;1;;
3542107;Interior;Rafard;205;2;;
3542206;Interior;Rancharia;977;13;;
3542305;Interior;Redenção da Serra;23;0;;
3542404;Interior;Regente Feijó;152;5;;
3542503;Interior;Reginópolis;117;1;;
3542602;Interior;Registro;1677;46;;
3542701;Interior;Restinga;79;0;;
3542800;Interior;Ribeira;33;0;;
3542909;Interior;Ribeirão Bonito;277;4;;
3543006;Interior;Ribeirão Branco;260;6;;
3543105;Interior;Ribeirão Corrente;68;1;;
3543204;Interior;Ribeirão do Sul;49;1;;
3543238;Interior;Ribeirão dos Índios;38;3;;
3543253;Interior;Ribeirão Grande;113;2;;
3543303;RMSP (exceto capital);Ribeirão Pires;1923;76;;
3543402;Interior;Ribeirão Preto;25235;863;;
3543501;Interior;Riversul;19;2;;
3543600;Interior;Rifaina;53;3;;
3543709;Interior;Rincão;108;4;;
3543808;Interior;Rinópolis;91;0;;
3543907;Interior;Rio Claro;4261;146;;
3544004;Interior;Rio das Pedras;756;38;;
3544103;RMSP (exceto capital);Rio Grande da Serra;726;28;;
3544202;Interior;Riolândia;354;3;;
3544251;Interior;Rosana;182;4;;
3544301;Interior;Roseira;241;3;;
3544400;Interior;Rubiácea;39;0;;
3544509;Interior;Rubinéia;74;2;;
3544608;Interior;Sabino;71;6;;
3544707;Interior;Sagres;7;0;;
3544806;Interior;Sales;87;3;;
3544905;Interior;Sales Oliveira;464;4;;
3545001;RMSP (exceto capital);Salesópolis;249;13;;
3545100;Interior;Salmourão;19;1;;
3545159;Interior;Saltinho;147;2;;
3545209;Interior;Salto;3098;67;;
3545308;Interior;Salto de Pirapora;1040;24;;
3545407;Interior;Salto Grande;108;2;;
3545506;Interior;Sandovalina;59;1;;
3545605;Interior;Santa Adélia;390;4;;
3545704;Interior;Santa Albertina;202;2;;
3545803;Interior;Santa Bárbara d'Oeste;6065;191;;
3546009;Interior;Santa Branca;203;6;;
3546108;Interior;Santa Clara d'Oeste;53;3;;
3546207;Interior;Santa Cruz da Conceição;141;0;;
3546256;Interior;Santa Cruz da Esperança;20;2;;
3546306;Interior;Santa Cruz das Palmeiras;1475;22;;
3546405;Interior;Santa Cruz do Rio Pardo;815;8;;
3546504;Interior;Santa Ernestina;157;2;;
3546603;Interior;Santa Fé do Sul;1093;39;;
3546702;Interior;Santa Gertrudes;1059;18;;
3546801;RMSP (exceto capital);Santa Isabel;1355;70;;
3546900;Interior;Santa Lúcia;100;4;;
3547007;Interior;Santa Maria da Serra;128;1;;
3547106;Interior;Santa Mercedes;9;1;;
3547205;Interior;Santana da Ponte Pensa;18;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;3571;104;;
3547403;Interior;Santa Rita d'Oeste;37;1;;
3547502;Interior;Santa Rita do Passa Quatro;388;11;;
3547601;Interior;Santa Rosa de Viterbo;363;4;;
3547650;Interior;Santa Salete;58;1;;
3547700;Interior;Santo Anastácio;339;12;;
3547809;RMSP (exceto capital);Santo André;19610;644;;
3547908;Interior;Santo Antônio da Alegria;145;3;;
3548005;Interior;Santo Antônio de Posse;768;10;;
3548054;Interior;Santo Antônio do Aracanguá;167;6;;
3548104;Interior;Santo Antônio do Jardim;83;3;;
3548203;Interior;Santo Antônio do Pinhal;79;3;;
3548302;Interior;Santo Expedito;19;1;;
3548401;Interior;Santópolis do Aguapeí;93;3;;
3548500;Interior;Santos;24727;695;;
3548609;Interior;São Bento do Sapucaí;62;0;;
3548708;RMSP (exceto capital);São Bernardo do Campo;27005;991;;
3548807;RMSP (exceto capital);São Caetano do Sul;5406;247;;
3548906;Interior;São Carlos;3466;54;;
3549003;Interior;São Francisco;65;4;;
3549102;Interior;São João da Boa Vista;831;25;;
3549201;Interior;São João das Duas Pontes;79;3;;
3549250;Interior;São João de Iracema;44;3;;
3549300;Interior;São João do Pau d'Alho;6;0;;
3549409;Interior;São Joaquim da Barra;1297;30;;
3549508;Interior;São José da Bela Vista;49;4;;
3549607;Interior;São José do Barreiro;23;2;;
3549706;Interior;São José do Rio Pardo;774;25;;
3549805;Interior;São José do Rio Preto;26265;725;;
3549904;Interior;São José dos Campos;19195;472;;
3549953;RMSP (exceto capital);São Lourenço da Serra;235;7;;
3550001;Interior;São Luiz do Paraitinga;17;5;;
3550100;Interior;São Manuel;383;11;;
3550209;Interior;São Miguel Arcanjo;283;9;;
3550308;Capital;São Paulo;319156;13715;;
3550407;Interior;São Pedro;719;10;;
3550506;Interior;São Pedro do Turvo;152;0;;
3550605;Interior;São Roque;907;25;;
3550704;Interior;São Sebastião;1873;42;;
3550803;Interior;São Sebastião da Grama;218;4;;
3550902;Interior;São Simão;205;5;;
3551009;Interior;São Vicente;7445;452;;
3551108;Interior;Sarapuí;21;1;;
3551207;Interior;Sarutaiá;64;3;;
3551306;Interior;Sebastianópolis do Sul;68;0;;
3551405;Interior;Serra Azul;202;4;;
3551504;Interior;Serrana;1186;46;;
3551603;Interior;Serra Negra;227;1;;
3551702;Interior;Sertãozinho;4900;118;;
3551801;Interior;Sete Barras;457;8;;
3551900;Interior;Severínia;755;17;;
3552007;Interior;Silveiras;40;1;;
3552106;Interior;Socorro;582;9;;
3552205;Interior;Sorocaba;17749;441;;
3552304;Interior;Sud Mennucci;222;1;;
3552403;Interior;Sumaré;6784;225;;
3552502;RMSP (exceto capital);Suzano;5586;247;;
3552551;Interior;Suzanápolis;135;2;;
3552601;Interior;Tabapuã;431;15;;
3552700;Interior;Tabatinga;374;10;;
3552809;RMSP (exceto capital);Taboão da Serra;8086;302;;
3552908;Interior;Taciba;115;2;;
3553005;Interior;Taguaí;318;3;;
3553104;Interior;Taiaçu;206;1;;
3553203;Interior;Taiúva;292;3;;
3553302;Interior;Tambaú;451;11;;
3553401;Interior;Tanabi;1365;28;;
3553500;Interior;Tapiraí;162;3;;
3553609;Interior;Tapiratiba;202;1;;
3553658;Interior;Taquaral;100;2;;
3553708;Interior;Taquaritinga;1209;40;;
3553807;Interior;Taquarituba;459;8;;
3553856;Interior;Taquarivaí;49;1;;
3553906;Interior;Tarabai;207;5;;
3553955;Interior;Tarumã;264;5;;
3554003;Interior;Tatuí;2792;75;;
3554102;Interior;Taubaté;5754;164;;
3554201;Interior;Tejupá;28;0;;
3554300;Interior;Teodoro Sampaio;299;6;;
3554409;Interior;Terra Roxa;298;6;;
3554508;Interior;Tietê;673;24;;
3554607;Interior;Timburi;20;1;;
3554656;Interior;Torre de Pedra;20;2;;
3554706;Interior;Torrinha;174;6;;
3554755;Interior;Trabiju;25;0;;
3554805;Interior;Tremembé;428;3;;
3554904;Interior;Três Fronteiras;259;9;;
3554953;Interior;Tuiuti;65;1;;
3555000;Interior;Tupã;953;39;;
3555109;Interior;Tupi Paulista;226;2;;
3555208;Interior;Turiúba;38;1;;
3555307;Interior;Turmalina;33;0;;
3555356;Interior;Ubarana;290;4;;
3555406;Interior;Ubatuba;1662;39;;
3555505;Interior;Ubirajara;76;1;;
3555604;Interior;Uchoa;395;9;;
3555703;Interior;União Paulista;66;2;;
3555802;Interior;Urânia;323;13;;
3555901;Interior;Uru;62;3;;
3556008;Interior;Urupês;245;12;;
3556107;Interior;Valentim Gentil;792;14;;
3556206;Interior;Valinhos;3103;104;;
3556305;Interior;Valparaíso;667;19;;
3556354;Interior;Vargem;80;1;;
3556404;Interior;Vargem Grande do Sul;1000;17;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;669;28;;
