Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3556503;Interior;Várzea Paulista;1804;72;;
3556602;Interior;Vera Cruz;128;6;;
3556701;Interior;Vinhedo;2020;38;;
3556800;Interior;Viradouro;468;10;;
3556909;Interior;Vista Alegre do Alto;217;3;;
3556958;Interior;Vitória Brasil;36;0;;
3557006;Interior;Votorantim;2670;88;;
3557105;Interior;Votuporanga;5455;110;;
3557154;Interior;Zacarias;106;1;;
3557204;Interior;Chavantes;117;2;;
3557303;Interior;Estiva Gerbi;164;5;;
;;Ignorado;194;0;;
